 ERC;230 34 74;ул. Марка Вовчка, 18а ;;;
 PRIMA VERITAS;209-14-96, 067-443-44-14 Наталя, Оля;Киев, ТРЦ Гулливер, БЦ Регус, пл. Спортивная, 1а, 17 этаж;; office@prima-veritas.ua;Заповнили 
" SHEN 
";(067) 224-43-17;;;"marketolog@shen.ua, info@shen.ua
";
 Креатив; (0522) 357171;м. Кіровоград, пр-т Промисловий, 19 ;;;
 Ложистик Днепр;593 18 50;Киевская область, Дударков, ул. Ленина 2/2, ;;aprudka@fmlogistic.com;
"
Фарлеп-Інвест"; 230 84 30;;;office@vegatele.com;
Accace Україна;5 693 310;;;ukraine@accace.com;
ALLBIZ CONSULTING GROUP;097 792 43 11, Кочетова Ольга;;;olga.kochetova86@mail.ru;
Cargill Ukraine;2 301 440;вулиця Мечникова, 3, Київ, ;;info_ukraine@cargill.com;
CORUM GROUP ;390-74-02 ;;;pr@corum.com;
DB Schenker в Украине;500 11 00;;;info@dbschenker.kiev.ua;
De Novo (компанія нтернету хостингу) ; 200-93-39;;; forinfo@de-novo.biz;
Delta Medical;593-33-55;;;info@deltamedical.com.ua;
DSV Logistics;390-51-21 ;"Киев,
ул. Семьи Сосниных 7Д";;dsv.logistics@dsv.ua ;
Epam system ;390-5457;"ул. Кудряшова, 14-Б
03035 Киев,";;66097@epam.com;
GEFCO ;287 88 89;вул. Жилянська 110, 7-й поверх;;sales.ua@gefco.net;
IDS Group;496-45-46;пр. Московский, 9, корпус 5, Киев;;ids@ids.ua;
international Consulting Group;067 197-80-23;Петрова Светлана ;;s_petrova07@list.ru;
Kanzas;581 36 92;;;info@kanzas.ua;
Kernel;"461-88-01, 461-88-04, 461-88-06
";;;pr@kernel.ua;
Metso ;056 462 86 87 ;"Кривой Рог
50000, ул. Ленина, 60 б";;info.ua@metso.com;
MSC контейнерная логистика;0 48 784 7272 ;;;odessa@mscukraine.com;
MTI ;2309929, Светлана Владимировна, юрист;"
ул. Шолуденко, 3, бизнес центр «Кубик»";;d_sveta@mti.ua;
Noble Resources Ukraine (Нобл Ресорсиз Украина);2 202 500;всю інфо по факсу 220-25-02;;;
Ovostar Union;354 29 60;"ул. Петропавловская, 34,
г. Киев,";;kp@ovostar.ua;
PepsiCo Украина;490 52 60, 490 52 60   ;г. Вишневое Киевской области, ул. Промышленная, д.7;;;
Prime Rate;050 335 33 25, 044 285 55 98;Бондарева Алёна;;bondareva@primerate.com.ua;
Procter Gamble ;4 900 900;;;kievreception.im@pg.com;
Profecto;22 33 803;;;profecto@profecto.com.ua;
Publicis Groupe Media;494 49 03;;;cortex@publicisgroupemedia.com.ua;
Rompetrol Україна;(048) 779 99 00;Одесса, ул. Солнечная 5;;office.ukraine@rompetrol.com;
Sigma (ИТ услуги);0 (57) 766–0159;;;info@sigma.software;перезвонять самі, якщо зацікавить
SKF в Україні ; 587 67 87, Катерина;м. Київ, бульвар Лесі Українки, б. 7Б, оф. 44, секція Г;;skf.ukraine@skf.com;
Socar;207 10 10 Михайло юрист;;;info@socar.ua;
Sun Inbev Украина;201-40-00;;;;
T.B. Fruit; 032 243-67-14 юрист Ігор;вул. В. Івасюка, 2-г, м. Городок, Львівська область;;267531@ukr.net;
UkrLandFarming; 393 40 93;Киевский район, г Киев, пр. Победы, 121-в ;;secretar@ukrlandfarming.com.ua;
umg group;590-64-06, 590-64-44;"г. Киев,
пер. Бехтеревский, 12б";;pr@umgukraine.com.ua;
WOG; 222 90 41, 599 22 35;;;;
Авиас;(0562) 33-43-31;" г.Днепропетровск
ул. Гоголя 15-а ";;td@avias.com.ua;
АВИКА;(0562) 658335;;; avika@ua.fm;
Авіста;515-72-31;;;;
АвтоКрАЗ;(0536) 766-208;ул. Киевская,62, г. Кременчуг;;pr@kraz.ua;
Автопетролиум (КЛО);494-31-11 ;Киев, ул. Н.Трублаини, 1б;;info@klo.ua, samoylenko.a@klo.ua;
Автотехсоюз;586-49-33;;;;
АГРАРНИЙ ФОНД; 277 27 00;;;info @ agrofond.gov.ua;
Агро овен ;(0562) 33-45-91;г. Днепропетровск, ул. Молодогвардейская, 32, здание №1 ;;infomanager@agrooven.com.ua;
Агроимпорт ;067446-97-75;г. Киев, ул. Ак. Заболотного, 150-а, оф. 51;;;
АГРОПРОСПЕРІС;юрисконсульт, Литвинець Вячеслав;;;lytvynets@mail.ua;
Агрофiрма Березанська птахофабрика;228-42-71;;;info@eggs.kiev.ua;
АДМ Іллічівськ;48 304 302;;;office.il@adm.com;
Адміністрація морських портів України;324-00-41;;; info@uspa.gov.ua;
АероЧартер;207 08 18;;;vip_charter@acr-air.com;
АЗБИ;537-35-01, (066) 347-72-10;юрисконсульт, Прокопенко Іван;;m.bilozor@azbi.com.ua;
АККАУНТОР КИЇВ;4991355, 0672367727 , Слободянюк Марина;Юрист;;maryna.slobodyanuk@accounntor.com;
Актавіс;5698020;;;office@actavis.com.ua;
Александрийская Зерновая Компания;504572985;"ул. Свердлова, 43/2
Александрия
Кировоградская обл.";;  azk@ozc-llc.com;
Альтком;237-79-00, 237-79-01 ;;;ds@altcom.ua ;
Альянс-Украина;490-73-75;г. Киев, ул. Ивана Франко, 6;;;
Амстор;0-800-303-777;;;info@amstor.ua;
АНКОР;495-15-20 ;;;info@ancor.ua;
Антонов;454-32-33, 454?33?48;;;info@antonov.com;заповнили
Арго Трейд;(057) 714-10-15;;;;
Арселор Миттал ;"8 (056) 499-32-33,8 (056) 499-16-21
";;;;
АрселорМиттал;(0564) 78-53-09;;;;
АрселорМіттал Кривий Ріг;(056) 499-26-95, (056) 499-16-28 ;;;amkr@arcelormittal.com;
Аснова холдинг;452 98 86;вул. М. Краснова, 27, м. Київ;;info@asnova.com;
Астарта-Київ ;5 859 494;м.Київ, вул. Почайнинська, 38/44;; office@astartakiev.com;
Астика-буд;456-78-54;;;astika-bud@ukr.net;
АТБ-маркет;543-21-58;;;kievpred@atbmarket.com;
АТЛАНТА АГРО;(056) 376-93-94; Днепропетровск, ул. Ленина, 36, 7 этаж;;office@atlanta-agro.com.ua;
Атраком;;Киев, ул. Мечникова, 3, оф. 307 ;;Alexandr_Savchuk@atracom.com.ua, Irene_Grishenko@atracom.com.ua;
Атторнейс Юнайтед;332-01-53, (068) 322- 67-67;" Київ,
вул. Стрілецька, 7/6, оф. 114 ";;;
Ашан Гіпермаркет;585-99-43, 063-63-878-26 Катерина Соколик;;;kgerasymenko@auchan.ua;
БаДМ; (056) 747-01-10 ,501-00-37;;;secretary@badm.biz;
Базис;227-17-75;;;info@bazis.in.ua;
БАСФ Т.О.В.;591 55 96;;;;
Баядера Холдинг;354 09 20;;;secretar@impt.bayadera.com.ua;
БЕРДЯНСКИЙ МОРСКОЙ ТОРГОВЫЙ ПОРТ;(06153) 6 26 09 справочна (06153) 62-603 юр відділ;;;post@mtport.com.ua, marketing@mtport.com.ua;
БИЗНЕС ГРАНД;390-30-81;;;;
БНК- Україна; 594-92-82;г.Киев, ул. Жилянская 48,50А, 3 этаж,;;info@beloil.com.ua ;
Брайтмедиа;222-92-38;;;"info@brightmedia.com.ua

";
БРОДЕЦЬКИЙ ЦУКРОВИЙ ЗАВОД;(04342) 36340;;;;
Бунге Украина;490 27 30, ;Киево-Святошинский район, г Киев, ул. Б.Хмельницкого, 19-21, 7 этаж ;;marketing@oleina.ua;
Бучацький сирзавод;0 35442-67-35;;;;
в.а.т. Україна;04637 70 900 охорона;"м. Київ,
вул. Жилянська, 35,";;Peter_Bondarenko@bat.com;
Ваго-Рев;(057) 739 18 95;Харьков ул. Иванова 7/9;;vago-rev@ukr.net;
Велет Авто;;;;;
ВЕНБЕСТ;239-2166 ;Киев, проспект Победы, 90/1;;office_n@venbest.com.ua;
Вента лтд;370-35-00;г.Днепропетровск, Крестьянский спуск, 3-а;;secretar@ventaltd.com.ua;
Викант;(056) 404- 96-83;;;secretary@vikant.com.ua;
Винницкая транспортная компания;(512) 60-29-83, 60-19-72;Николаев, ул. Знаменская,  4;;office@narp.ua;
Вінд Пауер;594-46-52;"г. Киев, ул. Льва Толстого 57,

Бизнес Центр 101 Тауэр,";;Windpowermail@dtek.com;
ВІТА-АВТО;(332) 787372 ;Луцьк, вул. Єршова, 2 ;;vavto@continium.lutsk.ua;
ВТБ Банк;590-46-93;;;;
Газтранзит;490-25-25;ул. Артема 26-В, г. Киев;;reception@gastransit.com.ua;
Галнафтогаз;(032) 298-96-01;Львов, ул.Тургенева, 72 ;;office@gng.com.ua;
Ганза;501-03-33;;;hansa@hansa.ua ;
ГІПРОЦИВІЛЬПРОМБУД;4866908;;; gipro@g.com.ua;
Глобино;(05365) 2 42 51;;;;
Гниваньский шиноремонтный завод; (04355) 33638;;;;
Група Агротрейд;0 (57) 766-22-22 ;ул. Дмитриевская 31/35, Харьков;;office@agrotrade.ua;
ДАЛЕКОВОД, Д.Д.;;;;;
Дарниця фарм.компанія;207-73-50, 207-73-11 юр.відділ;;; n.shishkovskiy@darnitsa.kiev.ua;
Датагруп;538-00-08;г. Киев, ул. Смоленская, 31-33;;info@datagroup.ua;
Делком Україна;(056) 790-13-01;;;office@delcom.com.ua;
Дельта Вілмар;;;;;
Держ. експертний центр Мін. Охор. здоров’я У.;393-26-37, директор Тетяна Володимирівна;;;dec@dec.gov.ua;
Державна екологічна інспекція у Київсь.обл.;0 97-696-57-47 Сергій;;;deiko.legalsector@gmail.com;
Джей Ті Інтернешнл Компані Україна;  (044)490-78-00;04070, м.Київ, вул.Спаська, буд. 30а; ;  Reception.Kyiv@jti.com;
ДЖІ-ЕН-ЕЛ крупозавод;0 (462) 672103;;;;
Динамо-Сілейр;(056) 763-05-25;;;;
Днеправиа;(056) 740 70 00;г. Днепропетровск, Аеропорт, 42;;call.centre@dniproavia.com.ua;
ДнепрАзот;0569 55-83-72, Павел Борисович, нач.юр відділу;;;office@azot.com.ua;
Днепровагонмаш;593-11-61;;;;
Днепрооблэнерго;056 373-56-43;"ул. Запорожское шоссе, 22
г. Днепропетровск";;kanc@mail.dp.energy.gov.ua;
Дніпро-Кіровоград;(0 52) 33-21-93;;;zv@dnipro-kirovograd.com.ua;
ДНІПРОПЕТРОВСЬКИЙ АГРЕГАТНИЙ ЗАВОД;(056) 233527;;; aodaz@i.ua;
Догмат-страхування;492-83-77;;;;
Донарготранс;237 02 13;;;office@donargortrans.com.ua;
ДТЭК Павлоградуголь;056 326 87 03;;;;
Еvraz україна; (056) 794-86-41 ;;;ua.info@evraz.com;
ЕВРАЗ Суха Балка;(056) 4048087, 4042601, 4044322;;;;
Европа транс лдт;392 03 41 Світлана, юрист;" вул. Перемоги, 20
м. Київ, 03170";;info@europetrans.com.ua;
ЕВРОТЕК;249 23 50 Олексій Васильович нач.юрид.департ.;"Киев
ул. Социалистическая, 5, корп. 2";;відмовився.;
Ейр Лінк Інтернешнл;(048) 777-83-04;;;;
Екнис-Украина;581- 63-07, Артур Грішаєнко, юрист;;;ukreknis@eknis.net, a.grishaenko@eknis.net;
ЕКО;(097) 885-88-00;Кружильный Сергей Олегович, Юрисконсульт;;kruzhilnyi@gmail.com;
Еколь Логистикс;206 26 81; ул. Н.Краснова, 27, г. Киев, 03115;; info.ukraine@ekol.com;
ЕКСIМНАФТОПРОДУКТ;(0482) 34-96-97;Одеса, вул. Наливна, 15;;office@eximneft.com.ua;
Елекс ;(048) 714-94-00;;;"office@eleks.su, direktor@eleks.su
 ";
Електропобутприлад;(032) 270 41 41;;;offise@elvo.lviv.ua;
Ельфа Лабораторія ; Людмила 050-44-44-122;;;Stetsyuk.l@elfa.ua;
Енвижн – Украина;239-99-99;" Киев,
ул. Северо-Сырецкая, д. 1";; info_ua@nvision-group.com;відмовились
Енергоконсалт;331-46-30;;;esco@energoconsalt.com;
Енергопроект;(057) 731-17-88 ;;;office@energoproekt.com.ua;
Енергостіл;;;;;
Епам системз;390-5457;;;;
Ергоком;098 408 63 28;Юрист, Кузьминская Ирина Витальевна;;irinakuzm@ukr.net;
Ергопак;5071854, 0933070599, Пименов Сергей ;Начальник юр. отдела;;pimenov@ergopack.ua;
Ерідон;536-92-00, Ярослав юрист;переулок Черновола, 3, с. Софиевская Борщаговка;;office@eridon.ua;
ЕС ЭНД ТИ УКРАИНА; 238 63 88;Проспект Академика Палладина, 44;;info@snt.ua, marketing@snt.ua;
Еско Північ;537-72-93;;;esko-pivhich@mail.ru;
ЕСТА Холдинг;507 14 00;"вул. Іллінська 8, БЦ «Іллінський», 6 під'їзд, 2 поверх, Київ

";;esta@estaholding.com;
ЕСУ будівельна компанія;5274747;;;info@esu-ua.com ;
ЕФОРТ;(032) 298-93-40;;;office@effort.com.ua;
Європейський Страховий Союз;593-8946;;;ess@eiu.com.ua;
Єврософтпром;;01019, Киев, а/я 124;;1c@1c.ua;
Жидачівський целюлозно-паперовий комбінат;(03239) 21 332;;;zcbk2012@rambler.ru;
Жилкомсервис;760-72-38;;;v.tsaran@zhks.kharkov.ua;
Закордоненергокомплектбуд;(04736) 3-21-95;;;zagranka@online.ua;
ЗАлК;(061) 212-24-27 Олександра Ігорівна, нач.юр.відділу;;;zalk@zalk.com.ua;
ЗАНГАС-НГС; (0512) 500142;;;zangasngs@ukr.net;
Западная нефтегазовая компания;492-87-14;Киев, ул. Тургеневская, 15 оф 52.;;victoriya@zngk.com.ua;
Запорожский железорудный комбинат;(06175) 673-59, Тетяна Михайлівна, нач.юр відділу;;;bessmertnaia@zgrk.com.ua;
Запорожский титано-магниевый комбинат ; (061) 2898209,  289-82-43, 289-82-16, нач.юр.відділу;;;sitiz@ztmc.zp.ua;
Запорожсталь;061 286 66 39,       (061)218-33-59 юр.відділ;;;press@zaporizhstal.com;
Зееландія;050 351 77 01 Сергій юрист;;;;
ЗЕОНБУД; 581-60-09 Ірина Миколаївна;"01054  м. Київ - 54,

а/с № 110, для ТОВ ""ЗЕОНБУД""";;"
 office@zeonbud.com.ua";
Ивченко-Прогресс;(0612) 65-03-27, (0612) 720-41-30 юр.відділ;"Запорожье,
ул.Иванова, 2";;progress@ivchenko-progress.com;
ИЛЬИЧЕВСКИЙ МОРСКОЙ ТОРГОВЫЙ ПОРТ;(04868) 9 37 64, (04868) 9 12 62;;;info_pressa@imtp.ua;
ИНГО Украина;4 902 744;;;;
ИНИШЕЙТИВ ;4952862;Киев, ул. Пимоненко Н., 13, 13, корп.4А, оф.32;;reception@initiativemedia.com.ua;
ИНТЕРПАЙП;(056)747-44-07;;;officepr@interpipe.biz;
ИнфоксВодоканал;705-56-06;г. Одесса, ул. Бассейная, 5;;ovslaw@infoxvod.com.ua;
Итек Транс ;3775151;;;ssu@itektrans.com;
"Інститут післядипломної освіти
Київського національного університету будівництва і архітектури
";245-48-56, 099-383-28-82, Разиграєва Наталя ;начальник юридичного відділу;;razigraeva_n@meta.ua;
Інтерпайп Україна;(056) 736-60-06;;;info@ua.interpipe.biz;
Інтер-Ріск Україна;238 69 00, 0 67 408 18 68;юрисконсульт, Яценко Олександр Сергійович;;osjatsenko@interrisk.com.ua;
Каргілл;230-1440;;;;
Каховка Протеин Агро;067 549 00 31, Король Лилия;Юрист;;"l.korol@kpagro.com.ua

";
Керамет;394-83-84;г. Киев, ул. Якира, 8;;km@keramet.com.ua;
Кернел;4 618 801;вулиця Дмитрівська, 92-94, Київ,;;secretar2@kernel.ua;
Киевмедпрепарат;490-75-22;;;marcom@arterium.ua, pr@arterium.ua;
КИЇВСОЮЗШЛЯХПРОЕКТ;(044) 2720829; ;;;
Київстар;0 800 300 466, 466-0466;;;;
Київський обл. лабораторн. Центр Держсанепідслужби;050 714 1244,  096 315 8085;Логан Инна , Юрисконсульт;;inalog@yandex.ua;
Ковчег 3000;Лавринович Геннадий 504487238 ;Юрист;;henkgodo@gmail.com;
Кодрум;Сторожук Олександра, юрист;;;aleksandra.storo@gmail.com;
КОМИНМЕТ;(056) 787-28-91 ;г.Днепропетровск, ул.Коминтерна, 7;;info.kominmet@gmail.com;
Компания АрселорМиттал;056-499-27-24;Днепропетровская область, Кривой Рог, ул. Орджоникидзе, 1 ;;amkr@arcelormittal.com;
Компас;093-091-70-60      Кисиль Дмитрий Анатольевич;;;kiev-advokat@i.ua;
Комплекс Агромарс;593 67 27;;;Turenko@agromars.com;
Конструкторське бюро “Південне” ім. М.К. Янгеля;(0562) 42-00-22;;; info@yuzhnoye.com;
Контактний центр міста Києва;502 065 227;Юрисконсульт, Рошалова Наталія Владиславівна;;roshalowa@ukr.net;
КОТЛОЕНЕРГОПРОЕКТ;(057) 7586208;;; info@kepua.org;
Кривбасводоканал;(0564)92-27-19;;;gvk@ukrpost.ua ;
Кривбаспромводопостачання;(056) 404-83-18;"Проспект Миру, б.15А
м. Кривий Ріг";;kpvs@kpvs.dp.ua;
КРИВБАСС-БЕЛАЗ-СЕРВИС ;(564) 06-45-30, (564) 66-48-43;;;krivbass@belaz.com.ua;
Криворожский железорудный комбинат;(056) 444-23-09;Симбирцева 1а, г.Кривой Рог, Днепропетровская обл;;krruda@krruda.dp.ua;
КРЮКОВСКИЙ ВАГОНОСТРОИТЕЛЬНЫЙ ЗАВОД;(0536) 76-23-38; г. Кременчуг, ул. И.Приходько, 139;;;
Лаворо Групп; 095 441-0183;юрисконсульт, Кульчицкий Глеб;;glebkulchitskiy@gmail.com;
Лемма;490 90 86;;;kyiv@lemma.ua;
Лемтранс;224-69-80;"ул. Антоновича, 46-46а, БЦ Династия
03150, г. Киев";;office@lemtrans.com.ua;
Лиски;568 76 90;;;liski@liski.com.ua;
ЛІКИ ПЛЮС;(0522) 221511;;;;
Луи Дрейфус Украина;238 68 88 ;г Киев, пр-т Московский, 9 оф. 4-204 ;;svetlana.gladchenko@ldc.com;
Луи Дрейфус Украина ЛТД; 238 68 88;;;ldkiev@ldcommodities.com;
Люстдорф;569-49-08 Іван Ярославович (юрист);" г. Киев,
ул. Сапёрно-Слободская, 25 ";;office@loostdorf.kiev.ua;
Львівська залізниця;(032) 226-34-90;;;contract@railway.lviv.ua;
Мариупольский морской торговый порт;(0629) 40 86 34, 40 03 09;;;;
Маркон;;;;;
Мастер-Авиа;339 21 63;;;;
Мегаполіс-Україна;(048) 734-35-35;м. Одеса, пр. Шевченка, 4А ;;info@megapolis-ukraine.com.ua;
Металлургтранс;(056) 791 11 51 ;;;office@metrans.com.ua;
Метинвест; (056) 410-53-01;;;;
МЕТИНВЕСТ ХОЛДИНГ; (062) 388-16-16;;;;
Милкиленд-Украина;369-52-00;;;press@milkiland.com;
Мироновский Хлебопродукт;207-00-40, 207 00 49 людмила юрист;ул. Академика Заболотного, 158, г. Киев,;;l.terenya@mhp.com.ua ;
Мірта Україна;;;;;
"Мовна школа ""ОЛА""";;;;alfa-audit@ukr.net;
"Могилев-Подольский машиностроительный 
завод им. С.М. Кирова
";0 (4337) 6-51-56  ;;;mashzavod@ukrpost.ua;
Монастирищенський котельний завод;5022839;;;;
Монделіс Україна;490 13 00;;;uamedia@mdlz.com;
Моріон;585-97-10 Євгеній, юрист;;;public@morion.ua, yurist@morion.ua;
Мотор Січ;(061) 720-50-40, 720-42-75;г. Запорожье, Украина, пр-т Моторостроителей, 15 ;;zpsdpv@motorsich.com;
Мсд україна;393 74 80;Київ, вул. М.Амосова, 12, 3 пов.;;;
МТС Украина;389 58 06 ;;;;
Мюрс;Коваль Катерина;;;;
НаноМедтех;;;;;
Насосэнергомаш;(0542) 700-044;Привокзальная площадь, 1, г. Сумы;;info@nempump.com;
НАСТА;364 00 56, вн. 107, (066) 97 38 154;Директор юр. Департамента;;ukrainskij@nasta.ukr.net;
НВП Аргон;;;;;
Ника-Тера;"(0512) 67-08-47, (050) 394 70 53
";г.Николаев, ул. Айвазовского, 23;;yulia.matveeva@nika-tera.com.ua ;
Николаевский авиаремонтный завод;;;;;
Николаевский глиноземный завод; (0512) 692011 ;;;nap@nap.mk.ua ;
